"Screen Resolution","Market Share Perc. (Jan 2023 - Jan 2024)"
"1920x1080",28.51
"1536x864",13.93
"1366x768",10.43
"1280x720",6.35
"1440x900",5.4
"2560x1440",3.45
"1600x900",3.03
"1280x1024",1.89
"810x1080",1.71
"1680x1050",1.66
"768x1024",1.39
"1280x800",1.37
"800x600",1.23
"1920x1200",1.1
"1024x768",0.8
"360x800",0.69
"2048x1152",0.6
"1360x768",0.56
"3440x1440",0.55
"1024x1366",0.54
"Other",14.81
