"Date","Mobile","Desktop","Tablet"
2023-01,58.52,39.41,2.07
2023-02,59.36,38.6,2.04
2023-03,57.18,40.8,2.02
2023-04,53.61,44.4,1.99
2023-05,50.71,47.41,1.88
2023-06,55.87,42.2,1.92
2023-07,55.67,42.4,1.93
2023-08,54.41,43.72,1.87
2023-09,53.03,45.13,1.84
2023-10,52.69,45.54,1.77
2023-11,53.66,44.52,1.82
2023-12,57.97,40.08,1.95
2024-01,58.21,39.76,2.03
